테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
경력,경력 ID,INT,NOT NULL,PK,,,,
,직원 ID,INT,NOT NULL,,FK,직원,직원 ID,
,회사명,VARCHAR(100),,,,,,
,입사일,DATE,,,,,,
,퇴사일,DATE,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
 스터디 ,스터디 ID,INT,NOT NULL,PK,,,,
,스터디명,VARCHAR(50),,,,,,
,스터디 종류,VARCHAR(30),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
휴가기록,휴가 ID,INT,NOT NULL,PK,,,,
,직원 ID,INT,NOT NULL,,FK,직원,직원 ID,
,휴가 시작일,DATE,,,,,,
,휴가 종료일,DATE,,,,,,
,휴가 종류,VARCHAR(30),,,,,,
,,,,,,,,
,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
투입 프로젝트,투입 ID,INT,NOT NULL,PK,,,,
,프로젝트 ID,INT,NOT NULL,,FK,프로젝트,프로젝트 ID,
,직원 ID,INT,NOT NULL,,FK,직원,직원 ID,
,직무,VARCHAR(50),,,,,,
,투입 일자,DATE,,,,,,
,투입 종료일자,DATE,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
프로젝트,프로젝트 ID,INT,NOT NULL,PK,,,,
,발주처 ID,INT,NOT NULL,,FK,발주처,발주처 ID,
,프로젝트명,VARCHAR(100),,,,,,
,착수일자,DATE,,,,,,
,종료일자,DATE,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
평가항목,평가항목 ID,INT,NOT NULL,PK,,,,
,평가 ID,INT,NOT NULL,,FK,평가,평가 ID,
,평점,"DECIMAL(3,1)",,,,,,
,평가내용,TEXT,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
인사,인사 ID,INT,NOT NULL,PK,,,,
,직원 ID,INT,NOT NULL,,FK,직원,직원 ID,
,입사 일자,DATE,,,,,,
,퇴사 일자,DATE,,,,,,
,승진 일자,DATE,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
직원,직원 ID,INT,NOT NULL,PK,,,,
,직원명,VARCHAR(50),,,,,,
,직급,VARCHAR(30),,,,,,
,주민등록번호,CHAR(13),,,,,,UNIQUE
,최종학력,VARCHAR(50),,,,,,
,부서,VARCHAR(50),,,,,,
개발자,직원 ID,INT,NOT NULL,PK,FK,직원,직원 ID,sub
,경험기술,VARCHAR(20),,,,,,
마케팅,직원 ID,INT,NOT NULL,PK,FK,직원,직원 ID,sub
연구개발,직원 ID,INT,NOT NULL,PK,FK,직원,직원 ID,sub
경영 관리,직원 ID,INT,NOT NULL,PK,FK,직원,직원 ID,sub
,권한단계,VARCHAR(20),NOT NULL,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
발주처,발주처 ID,INT,NOT NULL,PK,,,,
,발주처명,VARCHAR(100),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
참여 스터디,참여 ID,INT,NOT NULL,PK,,,,
,스터디 ID,INT,NOT NULL,,FK,스터디,스터디 ID,
,직원 ID,INT,NOT NULL,,FK,직원,직원 ID,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
스터디 기록,스터디 기록 ID,INT,NOT NULL,PK,,,,
,스터디 일자,DATE,,,,,,
,활동 내용,TEXT,,,,,,
,스터디 ID,INT,NOT NULL,,FK,스터디,스터디 ID,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
산출물,산출물 ID,INT,NOT NULL,PK,,,,
,프로젝트 ID,INT,NOT NULL,,FK,프로젝트,프로젝트 ID,
,산출물 종류,VARCHAR(50),,,,,,
,산출물명,VARCHAR(100),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
테이블 이름,열 이름,데이터 형식,NULL 유무,기본 키,외래 키,FK 테이블 이름,FK 열 이름,비고
평가,평가 ID,INT,NOT NULL,PK,,,,
,투입 ID,INT,NOT NULL,,FK,투입 ID,,
,평가구분,VARCHAR,NOT NULL,,,,,
고객평가,평가 ID,INT,NOT NULL,PK,FK,고객 ID,,sub
,고객 ID,INT,NOT NULL,,FK,고객 ID,,
PM평가,평가 ID,INT,NOT NULL,PK,FK,고객 ID,,sub
,PM ID,INT,NOT NULL,,Fk,직원 ID,,
동료평가,평가 ID,INT,NOT NULL,PK,FK,고객 ID,,sub
,동료 ID,INT,NOT NULL,,FK,직원 ID,,
